03/02/2026 23:17 | Stage_1 | 0h 0m 16s
03/02/2026 23:18 | Stage_1 | 0h 0m 13s
03/02/2026 23:21 | Stage_1 | 0h 0m 14s
03/02/2026 23:21 | Stage_1 | 0h 0m 15s
03/02/2026 23:22 | Stage_1 | 0h 0m 15s
03/02/2026 23:24 | Stage_1 | 0h 0m 16s
03/02/2026 23:27 | Stage_1 | 0h 0m 9s
03/02/2026 23:28 | Stage_1 | 0h 0m 10s
03/02/2026 23:29 | Stage_1 | 0h 0m 11s
03/02/2026 23:34 | Stage_1 | 0h 0m 9s
06/04/2026 22:15 | Stage_1 | 0h 0m 6s
06/04/2026 22:16 | Stage_1 | 0h 0m 3s
06/04/2026 22:23 | Stage_0 | 0h 0m 3s
06/04/2026 22:39 | Stage_0 | 0h 0m 16s
06/04/2026 22:43 | Stage_0 | 0h 0m 6s
06/04/2026 22:43 | Stage_0 | 0h 0m 6s
06/04/2026 22:50 | Stage_0 | 0h 0m 6s
06/07/2026 17:44 | Stage_0 | 0h 0m 13s
06/07/2026 18:15 | Stage_0 | 0h 0m 6s
06/07/2026 18:21 | Stage_0 | 0h 0m 6s
06/07/2026 18:22 | Stage_0 | 0h 0m 6s
